,id,type,title,director,genres,overview,vote_average,vote_count
476,s6294,Movie,The Devil Inside,William Brent Bell,"['Horror Movies, Thrillers']","At once spooky and grisly, this thriller follows a woman's quest to find the truth behind claims her mother killed three people during an exorcism.",4.6,262
477,s6318,TV Show,The Duchess,,"['British TV Shows, International TV Shows, TV Comedies']","Katherine's a single mom juggling her career, her tween daughter, her relationship with her boyfriend — and pondering getting pregnant with her ex.",6.7,396
478,s6320,Movie,The Dukes of Hazzard,Jay Chandrasekhar,"['Action & Adventure, Comedies']","The Duke boys are back in this comedy based on the TV series, following Bo and Luke as they tear around Hazzard County in their trusty Dodge Charger.",5.1,316
479,s6338,Movie,The Evil Dead,Sam Raimi,"['Classic Movies, Cult Movies, Horror Movies']","During a stop at a remote cabin deep within the woods, a group of teens begins turning into flesh-eating zombies in director Sam Raimi's cult classic.",7.3,894
480,s6349,Movie,The Fighter,David O. Russell,"['Dramas, Sports Movies']","After a string of defeats, a boxer rediscovers his fighting will with help from his trainer and half-brother, a once-talented pugilist.",7.2,1486
481,s6351,Movie,The Final Destination,David R. Ellis,['Horror Movies'],"Nick O'Bannon thinks he's cheated death when he keeps a grisly premonition from becoming reality, but he soon realizes that fate has other plans.",5.4,831
482,s6356,Movie,The First Wives Club,Hugh WIlson,['Comedies'],"Following a friend's suicide after her husband dumps her for a younger model, three women plot payback against their two-timing exes.",6.5,166
483,s6361,Movie,The Flintstones,Brian Levant,"['Children & Family Movies, Comedies']",The Flintstones hit the big screen in this live-action comedy that finds Fred and Barney struggling to cope with the pressures of work and family.,5.0,543
484,s6362,Movie,The Flintstones in Viva Rock Vegas,Brian Levant,"['Children & Family Movies, Comedies, Romantic Movies']","Yabba-dabba-doo! Digital dinosaurs rule the day when Fred, Barney, Betty and Wilma take Vegas by storm in this prequel that posits their lives before marriage.",4.4,134
485,s6365,Movie,The Forbidden Kingdom,Rob Minkoff,"['Action & Adventure, Sci-Fi & Fantasy']",Jackie Chan and Jet Li star in this rousing adventure about a martial arts movie fan who finds a mystical staff that transports him to ancient China.,6.3,461
486,s6368,Movie,The Forest,Jason Zada,"['Horror Movies, Independent Movies']","A young woman conducts a search for her twin sister, who disappeared in a notorious area of Japan known as the Suicide Forest.",4.8,448
487,s6378,Movie,The Frozen Ground,Scott Walker,"['Dramas, Thrillers']","In this fact-based thriller, an Alaska state trooper pursuing a serial killer teams with a 17-year-old-prostitute who escaped the predator's clutches.",6.1,465
488,s6383,TV Show,The Game,,"['Romantic TV Shows, TV Comedies, TV Dramas']",Medical school student Melanie adjusts to life in the world of professional sports when her boyfriend Derwin becomes a pro football player.,7.5,1506
489,s6394,TV Show,The Gift,,"['International TV Shows, TV Dramas, TV Mysteries']",A painter in Istanbul embarks on a personal journey as she unearths universal secrets about an Anatolian archaeological site and its link to her past.,6.7,1049
490,s6397,Movie,The Girl with the Dragon Tattoo,David Fincher,"['Dramas, Thrillers']","When a young computer hacker is tasked with investigating a prying journalist, their separate missions become entangled amid a decades-old conspiracy.",7.2,2434
491,s6407,Movie,"The Goods: Live Hard, Sell Hard",Neal Brennan,['Comedies'],"Hired to rescue a flagging car dealership during a major sale, a fast-talking closer spends his days on the lot and his nights at local strip clubs.",5.4,58
492,s6414,Movie,The Grandmaster,Wong Kar Wai,"['Action & Adventure, Dramas, International Movies']","As the Japanese invasion looms, Chinese kung fu master Ip Man's world changes when rival master Gong Er and her father arrive in his village.",6.3,273
493,s6424,Movie,The Great Raid,John Dahl,"['Action & Adventure, Dramas']","In World War II, a battalion goes on a daring rescue mission to liberate the Americans and Filipinos who've been captured by the Japanese.",6.8,91
494,s6426,Movie,The Green Hornet,Michel Gondry,"['Action & Adventure, Comedies']","A hard-partying heir dons a disguise to fight crime after hours. But with no talents or skills, he relies on his friend, a martial-arts genius.",5.5,1251
495,s6427,Movie,The Green Inferno,Eli Roth,"['Horror Movies, Independent Movies']","Determined to save an Amazon tribe being squeezed by logging, a group of students finds nothing but trouble when their plane crashes in the jungle.",5.0,349
496,s6435,Movie,The Hateful Eight,Quentin Tarantino,"['Action & Adventure, Thrillers']","Years after the Civil War, a bounty hunter and his captive are waylaid by a Wyoming blizzard and hole up in a way station with six dicey strangers.",7.6,4274
497,s6442,Movie,The Haunting of Molly Hartley,Mickey Liddell,"['Horror Movies, Thrillers']","A troubled teenage girl hopes to start fresh at a new school, but the horrifying truth about her past is destined to catch up with her.",4.3,48
498,s6448,Movie,The Help,Tate Taylor,['Dramas'],"A young, white writer stirs up the status quo in 1960s Mississippi by interviewing Black housemaids and bringing their stories to the masses.",7.8,1910
499,s6473,Movie,The Hundred-Foot Journey,Lasse Hallström,"['Comedies, Dramas']","A chef and his family leave India to open an eatery in the south of France, where they clash with the haughty restaurateur across the street.",7.3,508
500,s6474,TV Show,The Hunt,,"['British TV Shows, Docuseries, Science & Nature TV']","Witness some of the most riveting showdowns in the animal kingdom as cameras capture leopards, polar bears and other predators targeting their prey.",7.9,927
501,s6480,Movie,The Imaginarium of Doctor Parnassus,Terry Gilliam,"['Action & Adventure, Sci-Fi & Fantasy']","When a deal with the devil comes due, the immortal Doctor Parnassus must renegotiate the pact to save his daughter and right the wrongs of his past.",6.3,869
502,s6481,Movie,The Impossible,J.A. Bayona,['Dramas'],"Tracking one family's harrowing experiences, this gripping drama depicts the chaos generated by the massive 2004 tsunami in Southeast Asia.",7.0,2025
503,s6490,Movie,The Indian in the Cupboard,Frank Oz,"['Children & Family Movies, Dramas']","A boy receives a wooden cupboard, antique keys and an Iroquois warrior figurine for his birthday. The figurine comes to life overnight in the cabinet.",5.9,134
504,s6492,Movie,The Informant!,Steven Soderbergh,"['Comedies, Dramas']","While gathering evidence against his employer to help the FBI build a price-fixing case, Mark Whitacre begins to piece together a fantasy world.",6.0,301
505,s6500,Movie,The Interview,Craig Monahan,"['Cult Movies, Dramas, Thrillers']","When a man who's seemingly lost everything is grabbed by police for questioning, it starts a twisted cat-and-mouse game between him and a detective.",6.1,2304
506,s6502,Movie,The Invention of Lying,"Ricky Gervais, Matthew Robinson","['Comedies, Romantic Movies']","In a world where no one fibs, a screenwriter gains fame and fortune – and maybe the girl of his dreams – by saying things that aren't true.",6.0,518
507,s6510,Movie,The Iron Lady,Phyllida Lloyd,"['Dramas, International Movies']","Margaret Thatcher, the first female prime minister of Britain, navigates a career destined to change the rules of leadership and politics.",6.2,527
508,s6512,Movie,The Island,Toka McBaror,"['Dramas, International Movies, Thrillers']","When a colonel uncovers controversial intel about the government, he makes a shocking discovery and must decide whether to reveal it or risk his life.",6.5,1770
509,s6521,TV Show,The Jungle Book,,"[""Kids' TV""]","This animated series follows young Mowgli and his animal mentors Bagheera and Baloo, who do their best to protect him from fierce tiger Shere Khan.",6.7,2892
510,s6524,Movie,The Karate Kid,Harald Zwart,"['Children & Family Movies, Dramas']","After moving to Beijing with his mother, Dre falls prey to a bully, so he takes lessons from a martial arts master in this remake of the 1984 classic.",6.9,891
511,s6534,Movie,The King's Speech,Tom Hooper,"['Dramas, International Movies']","In this biographical drama, Britain's King George VI struggles with an embarrassing stutter until he seeks help from speech therapist Lionel Logue.",7.6,2752
512,s6543,Movie,The Lake House,Alejandro Agresti,"['Dramas, Romantic Movies, Sci-Fi & Fantasy']","A lonely doctor begins writing letters to the frustrated architect who lives in her former home, only to discover that they're living two years apart.",6.5,670
513,s6551,Movie,The Last Airbender,M. Night Shyamalan,"['Action & Adventure, Children & Family Movies, Sci-Fi & Fantasy']","In a world ravaged by the Fire nation's aggression toward the peaceful Air, Water and Earth nations, a young boy holds the key to restoring peace.",4.7,1151
